Identifiant de document,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain
,,,,,,,000001,08/01/2024,Vente,"135000,00",5,,BD,4840,DE LA LIBERTE,34500,BEZIERS,34,32,,MP,3,,9,"105,92",,,,,,,,,1,2,Appartement,,104,4,,,
,,,,,,,000001,08/01/2024,Vente,"135000,00",5,,BD,4840,DE LA LIBERTE,34500,BEZIERS,34,32,,MP,3,,2,,,,,,,,,,1,3,Dépendance,,0,0,,,
,,,,,,,000001,09/01/2024,Vente,"37300,00",26,,RUE,0330,D ALSACE,34500,BEZIERS,34,32,,OZ,94,,70,"25,43",,,,,,,,,1,4,Local industriel. commercial ou assimilé,,75,0,,,
,,,,,,,000001,02/01/2024,Vente,"149000,00",21,B,AV,2170,COLONEL D ORNANO,34500,BEZIERS,34,32,,LX,81,,,,,,,,,,,,0,2,Appartement,,40,3,S,,55
,,,,,,,000001,02/01/2024,Vente,"149000,00",21,B,AV,2170,COLONEL D ORNANO,34500,BEZIERS,34,32,,LX,81,,,,,,,,,,,,0,2,Appartement,,34,1,S,,55
,,,,,,,000001,02/01/2024,Vente,"149000,00",21,B,AV,2170,COLONEL D ORNANO,34500,BEZIERS,34,32,,LX,81,,,,,,,,,,,,0,2,Appartement,,43,2,S,,55
,,,,,,,000001,02/01/2024,Vente,"149000,00",21,B,AV,2170,COLONEL D ORNANO,34500,BEZIERS,34,32,,LX,81,,,,,,,,,,,,0,2,Appartement,,40,2,S,,55
,,,,,,,000001,09/01/2024,Vente,"141500,00",45,,RUE,3589,FRANCOIS GAUBERT,34500,BEZIERS,34,32,,DM,334,,54,,,,,,,,,,1,3,Dépendance,,0,0,,,
,,,,,,,000001,09/01/2024,Vente,"141500,00",45,,RUE,3589,FRANCOIS GAUBERT,34500,BEZIERS,34,32,,DM,334,,33,"44,52",,,,,,,,,1,2,Appartement,,44,2,,,
,,,,,,,000001,11/01/2024,Vente,"227850,00",73,,RUE,4235,DE LA HOTTE,34500,BEZIERS,34,32,,HS,753,,,,,,,,,,,,0,1,Maison,,109,5,S,,337
,,,,,,,000001,08/01/2024,Vente,"140000,00",91,,IMP,4885,DU LIMOUSIN,34500,BEZIERS,34,32,,NZ,234,,33,"61,53",,,,,,,,,1,2,Appartement,,62,3,,,
,,,,,,,000001,08/01/2024,Vente,"140000,00",91,,IMP,4885,DU LIMOUSIN,34500,BEZIERS,34,32,,NZ,234,,12,,,,,,,,,,1,3,Dépendance,,0,0,,,
,,,,,,,000001,04/01/2024,Vente,,105,,RUE,1036,MAURICE BEJART,34500,BEZIERS,34,32,,MZ,414,,4002,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,,200,0,,,
,,,,,,,000001,05/01/2024,Vente,"70000,00",3,,RUE,7870,VALMY,34500,BEZIERS,34,32,,MP,651,,5,"60,10",,,,,,,,,1,2,Appartement,,70,3,,,
,,,,,,,000001,05/01/2024,Vente,"71000,00",105,,RUE,1036,MAURICE BEJART,34500,BEZIERS,34,32,,MZ,414,,3023,,3100,,,,,,,,2,3,Dépendance,,0,0,,,
,,,,,,,000001,05/01/2024,Vente,"71000,00",105,,RUE,1036,MAURICE BEJART,34500,BEZIERS,34,32,,MZ,414,,3023,,3100,,,,,,,,2,2,Appartement,,39,2,,,
,,,,,,,000001,04/01/2024,Vente,"224500,00",105,,RUE,1036,MAURICE BEJART,34500,BEZIERS,34,32,,MZ,414,,4006,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,,200,0,,,
,,,,,,,000001,09/01/2024,Vente,"69350,00",6,,RUE,0460,ANDRE CADELARD,34500,BEZIERS,34,32,,PZ,133,,,,,,,,,,,,0,1,Maison,,51,3,S,,46
,,,,,,,000001,15/01/2024,Vente,"113880,00",7,,RUE,7090,DU ROUAT,34500,BEZIERS,34,32,,OT,177,,,,,,,,,,,,0,2,Appartement,,54,2,S,,254
,,,,,,,000001,15/01/2024,Vente,"113880,00",7,,RUE,7090,DU ROUAT,34500,BEZIERS,34,32,,OT,177,,,,,,,,,,,,0,3,Dépendance,,0,0,S,,254
,,,,,,,000001,15/01/2024,Vente,"113880,00",7,,RUE,7090,DU ROUAT,34500,BEZIERS,34,32,,OT,177,,,,,,,,,,,,0,2,Appartement,,54,2,S,,254
,,,,,,,000001,15/01/2024,Vente,"113880,00",7,,RUE,7090,DU ROUAT,34500,BEZIERS,34,32,,OT,177,,,,,,,,,,,,0,3,Dépendance,,0,0,S,,254
,,,,,,,000001,15/01/2024,Vente,"113880,00",,,RUE,7090,DU ROUAT,34500,BEZIERS,34,32,,OT,352,,,,,,,,,,,,0,,,,,,S,,85
,,,,,,,000001,17/01/2024,Vente,"81300,00",3,,RUE,0422,DES ANC D ALGERIE,34500,BEZIERS,34,32,,MY,50,,101,,77,,,,,,,,2,3,Dépendance,,0,0,,,
,,,,,,,000001,17/01/2024,Vente,"81300,00",3,,RUE,0422,DES ANC D ALGERIE,34500,BEZIERS,34,32,,MY,50,,101,,77,,,,,,,,2,2,Appartement,,63,3,,,
,,,,,,,000001,17/01/2024,Vente,"81300,00",3,,RUE,0422,DES ANC D ALGERIE,34500,BEZIERS,34,32,,MY,50,,195,,,,,,,,,,1,3,Dépendance,,0,0,,,
,,,,,,,000001,15/01/2024,Vente,"11700,00",60,,BD,4840,DE LA LIBERTE,34500,BEZIERS,34,32,,MP,276,,17,,,,,,,,,,1,3,Dépendance,,0,0,,,
,,,,,,,000001,05/01/2024,Vente,"174098,00",1,,RUE,5530,MAZAGRAN,34500,BEZIERS,34,32,,LY,128,,,,,,,,,,,,0,1,Maison,,90,4,S,,27
,,,,,,,000001,04/01/2024,Vente,"132000,00",14,,RUE,0240,ALFRED DE MUSSET,34500,BEZIERS,34,32,,MP,536,,12,,14,,22,,,,,,3,3,Dépendance,,0,0,,,
,,,,,,,000001,04/01/2024,Vente,"132000,00",14,,RUE,0240,ALFRED DE MUSSET,34500,BEZIERS,34,32,,MP,536,,12,,14,,22,,,,,,3,2,Appartement,,127,4,,,
,,,,,,,000001,04/01/2024,Vente terrain à bâtir,"156500,00",,,,B078,LES FANGASSES,34500,BEZIERS,34,32,,AC,170,,,,,,,,,,,,0,,,,,,T,,581
,,,,,,,000001,04/01/2024,Vente,"113900,00",,,RTE,5230,DE MARAUSSAN RD 14,34500,BEZIERS,34,32,,RV,269,,,,,,,,,,,,0,,,,,,S,,123
